# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,,,
# V min: 5.17906, V max: 5.22285,,,,,,,,
# I min: 0.31581, I max: 0.71319,,,,,,,,
Time,Voltage,Current,Capacity,Energy,,,,,
0,5.22285,0.33113,0.0000046,0.00001201,,,,,
0.1,5.22281,0.31581,0.00001358,0.00002346,,,,,
0.2,5.22285,0.33086,0.00002257,0.00003546,,,,,
0.3,5.22285,0.37574,0.00003238,0.00004909,,,,,
0.4,5.22266,0.33263,0.00004222,0.00006116,,,,,
0.5,5.22266,0.31979,0.00005128,0.00007275,,,,,
0.6,5.22254,0.33345,0.00006035,0.00008485,,,,,
0.7,5.2225,0.33349,0.00006962,0.00009694,,,,,
0.8,5.22246,0.33345,0.00007888,0.00010903,,,,,
0.9,5.22246,0.31631,0.0000879,0.00012051,,,,,
1,5.2225,0.31979,0.00009674,0.0001321,,,,,
1.1,5.22238,0.33336,0.00010581,0.00014419,,,,,
1.2,5.22227,0.3183,0.00011486,0.00015574,,,,,
1.3,5.22211,0.31929,0.00012372,0.00016732,,,,,
1.4,5.22215,0.33214,0.00013276,0.00017936,,,,,
1.5,5.2223,0.34267,0.00014214,0.00019179,,,,,
1.6,5.22227,0.33031,0.00015148,0.00020377,,,,,
1.7,5.22238,0.31855,0.00016049,0.00021532,,,,,
1.8,5.22238,0.33034,0.00016951,0.0002273,,,,,
1.9,5.22238,0.3304,0.00017868,0.00023928,,,,,
2,5.22238,0.33034,0.00018786,0.00025126,,,,,
2.1,5.2225,0.31705,0.00019685,0.00026272,,,,,
2.2,5.2041,0.50306,0.00020824,0.00028084,1,,,,
2.3,5.19534,0.62914,0.00022397,0.00030352,2,,,,
2.4,5.18908,0.62267,0.00024135,0.00032594,3,,,,
2.5,5.19033,0.62491,0.00025868,0.00034846,4,,,,
2.6,5.19659,0.62616,0.00027606,0.00037104,5,,,,
2.7,5.19033,0.61845,0.00029334,0.00039332,6,,,,
2.8,5.19033,0.63759,0.00031079,0.00041635,7,,,,
2.9,5.18908,0.61497,0.00032819,0.00043851,8,,,,
3,5.19033,0.63038,0.00034548,0.00046124,9,,,,
3.1,5.18532,0.66196,0.00036343,0.00048512,10,,,,
3.2,5.19429,0.61248,0.00038113,0.0005072,11,,,,
3.3,5.19135,0.62417,0.00039831,0.00052969,12,,,,
3.4,5.19006,0.61074,0.00041546,0.00055171,13,,,,
3.5,5.18998,0.62512,0.00043262,0.00057424,14,,,,
3.6,5.19006,0.62518,0.00044999,0.00059677,15,,,,
3.7,5.1901,0.62515,0.00046735,0.0006193,16,,,,
3.8,5.1901,0.62526,0.00048472,0.00064184,17,,,,
3.9,5.19002,0.62533,0.00050209,0.00066437,18,,,,
4,5.18998,0.62561,0.00051946,0.00068692,19,,,,
4.1,5.18995,0.60552,0.00053656,0.00070875,20,,,,
4.2,5.19026,0.62326,0.00055363,0.00073121,21,,,,
4.3,5.1903,0.61074,0.00057077,0.00075323,22,,,,
4.4,5.19026,0.62271,0.0005879,0.00077567,23,,,,
4.5,5.19022,0.63759,0.0006054,0.00079865,24,,,,
4.6,5.19022,0.62272,0.00062291,0.0008211,25,,,,
4.7,5.19014,0.64307,0.00064049,0.00084427,26,,,,
4.8,5.1901,0.62303,0.00065807,0.00086673,27,,,,
4.9,5.1901,0.62311,0.00067538,0.00088919,28,,,,
5,5.19018,0.63411,0.00069284,0.00091204,29,,,,
5.1,5.19018,0.61223,0.00071015,0.00093411,30,,,,
5.2,5.19014,0.62341,0.00072731,0.00095658,31,,,,
5.3,5.1901,0.62362,0.00074463,0.0009791,32,,,,
5.4,5.1901,0.55404,0.00076099,0.00099911,33,,,,
5.5,5.19038,0.54583,0.00077627,0.00101879,34,,,,
5.6,5.1912,0.55379,0.00079154,0.0010388,35,,,,
5.7,5.19194,0.56175,0.00080703,0.00105906,36,,,,
5.8,5.19276,0.56871,0.00082273,0.00107957,37,,,,
5.9,5.19355,0.55255,0.00083831,0.00109951,38,,,,
6,5.19417,0.53066,0.00085335,0.00111865,39,,,,
6.1,5.19499,0.55354,0.00086841,0.00113863,40,,,,
6.2,5.19589,0.53862,0.00088358,0.00115807,41,,,,
6.3,5.19671,0.54011,0.00089856,0.00117756,42,,,,
6.4,5.19754,0.55785,0.00091381,0.0011977,43,,,,
6.5,5.19836,0.5505,0.0009292,0.00121757,44,,,,
6.6,5.19832,0.55042,0.00094449,0.00123744,45,,,,
6.7,5.1984,0.53763,0.00095961,0.00125685,46,,,,
