# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,
# V min: 5.19534, V max: 5.23541,,,,,,
# I min: 0.31158, I max: 0.51002,,,,,,
Time,Voltage,Current,Capacity,Energy,,,
9,5.22344,0.3272,0.00098649,0.00129212,,,91
9.1,5.2234,0.33869,0.00099574,0.00130441,,,92
9.2,5.22328,0.34043,0.00100517,0.00131675,,,93
9.3,5.22332,0.32723,0.00101444,0.00132862,,,94
9.4,5.22324,0.32727,0.00102353,0.00134049,,,95
9.5,5.22324,0.31606,0.00103247,0.00135196,,,96
9.6,5.2232,0.32732,0.0010414,0.00136383,,,97
9.7,5.22313,0.32725,0.0010505,0.0013757,,,98
9.8,5.22305,0.32725,0.00105959,0.00138757,,,99
9.9,5.22301,0.32736,0.00106868,0.00139944,,,100
10,5.22293,0.35908,0.00107821,0.00141247,,,101
10.1,5.22274,0.33036,0.00108779,0.00142445,,,102
10.2,5.22293,0.31183,0.00109671,0.00143576,,,103
10.3,5.22289,0.31482,0.00110541,0.00144718,,,104
10.4,5.22289,0.3173,0.00111419,0.00145869,,,105
10.5,5.22297,0.33037,0.00112318,0.00147067,,,106
10.6,5.22301,0.37674,0.00113301,0.00148433,,,107
10.7,5.22297,0.33044,0.00114283,0.00149632,,,108
10.8,5.22293,0.33037,0.00115201,0.0015083,,,109
10.9,5.22305,0.31581,0.00116098,0.00151976,,,110
11,5.22301,0.31308,0.00116971,0.00153111,,,111
11.1,5.22328,0.31382,0.00117842,0.0015425,,,112
11.2,5.22313,0.31482,0.00118715,0.00155392,,,113
11.3,5.22309,0.32728,0.00119607,0.00156579,,,114
11.4,5.22305,0.32728,0.00120516,0.00157766,,,115
11.5,5.22305,0.32724,0.00121425,0.00158953,,,116
11.6,5.22301,0.32721,0.00122334,0.00160139,,,117
11.7,5.22305,0.32727,0.00123243,0.00161327,,,118
11.8,5.22313,0.31531,0.00124136,0.0016247,,,119
11.9,5.22297,0.31332,0.00125009,0.00163607,,,120
12,5.22293,0.31457,0.00125881,0.00164748,,,121
12.1,5.22301,0.31506,0.00126755,0.0016589,,,122
12.2,5.22309,0.32714,0.00127647,0.00167077,,,123
12.3,5.22305,0.33919,0.00128573,0.00168307,,,124
